id,date,oppo,venue,result,bat_first,first_runs,first_wkts,first_all_out,first_notes,second_runs,second_wkts,second_all_out,second_notes,overs_opp,overs_tocc,tocc_w,tocc_nb,tocc_b,tocc_lb,opp_w,opp_nb,opp_b,opp_lb
-1,2011-07-03 00:00:00,Norwood Exiles,A,W,Opp,152,10,,"Steel 37, Vashisthta 5-24",153,1,,"Woodhouse 51*, Seymour 44, Rao 32*",26.5,38,21,0,7,6,12,2,8,4
-1,2011-07-10 00:00:00,South Railways & Kenley,A,W,Opp,134,10,,"Smith T 52, Mustafa 5-27",138,4,,Sharpe 62,26.2,29.2,7,3,8,7,17,0,7,3
-1,2011-07-24 00:00:00,RACS,A,L,Opp,215,3,,"Bennington 93, Donnelly 60",141,10,,"Nair 43*, Donnelly 3-12",32.1,40,8,6,1,6,10,2,0,4
-1,2011-07-31 00:00:00,Carlton Sports,H,W,Opp,173,7,,Luxford 53*,177,3,,"Sharpe 85, Sunkara 44",29.2,40,2,6,8,11,4,2,6,1
-1,2011-08-07 00:00:00,West One,H,L,Opp,259,3,,"Zonneveld 118*, Joubert 86",181,10,,,40,40,10,1,14,2,15,0,10,5
-1,2011-08-14 00:00:00,Beddington,A,W,Opp,130,9,,Seymour 5-36,137,3,,Rao 46*,33,40,2,0,2,1,5,8,3,2
-1,2011-08-21 00:00:00,Norwood Exiles,H,L,Opp,216,6,,Wilson J 98,92,10,,Patel 4-30,24.1,40,3,3,7,2,18,4,3,1
-1,2011-08-28 00:00:00,LESSA Wanderers,H,L,TOCC,111,9,,"Edghill D 36, Glancy 3-11",112,3,,Brown 74*,35,25.4,3,2,1,0,6,1,5,1
-1,2011-09-04 00:00:00,Churchleigh,H,L,Opp,150,2,,Lordan W 80,112,9,,"Clarkson 49, Woolgar J 3-19",18.2,20,7,0,6,3,15,2,3,1
-1,2011-09-11 00:00:00,Sanderstead,A,L,Opp,198,7,,Ward T 83,138,10,,"Middleton 86, Latif 3-12",35.4,44.2,14,2,0,2,10,0,9,0
-1,2011-09-18 00:00:00,St Mary Cray,A,W,Opp,117,10,,"Nair 3-16, Singh G 3-5",118,4,,Seymour 36*,31,38.4,12,3,6,4,13,0,7,0
-1,2011-09-25 00:00:00,Bromley Town & Old Bromley,A,W,Opp,175,10,,"Drinkwater 57, Seymour 7-27",177,7,,Middleton 47*,39.3,38.2,27,2,5,0,4,3,7,2
-1,2004-05-01 00:00:00,Caribbean,H,L,Opp,179,8,,Bowers 4-19,143,9,,,30,30,27,1,5,0,8,1,14,0
-1,2004-05-02 00:00:00,John Fisher,H,L,TOCC,129,10,,"Lestrelle J 32, McCarthy 4-17",131,8,,Lestrelle A 3-29,43,32.1,16,1,5,0,6,3,4,0
